scenario,metric,significant_impact_fp,total_comparisons,significant_impact_fp_rate,ttest_fp,ttest_fp_rate,max_significant_impact_bound
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool netcoreapp3.1,execution_time,0,55,0,41,74.54545455,1.698450927
Benchmarks.Trace.CharSliceBenchmark.OptimizedCharSliceWithPool netcoreapp3.1,throughput,0,55,0,41,74.54545455,1.660796447
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net472,execution_time,0,55,0,31,56.36363636,1.659254908
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice net472,throughput,0,55,0,31,56.36363636,1.627582456
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice netcoreapp3.1,execution_time,0,55,0,42,76.36363636,1.648401477
Benchmarks.Trace.CharSliceBenchmark.OriginalCharSlice netcoreapp3.1,throughput,0,55,0,42,76.36363636,1.681024519
Benchmarks.Trace.DbCommandBenchmark.ExecuteNonQuery net472,execution_time,0,55,0,25,45.45454545,0.7335722417
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearch net472,execution_time,0,55,0,20,36.36363636,0.5065448857
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync net472,execution_time,0,55,0,29,52.72727273,0.6448346782
Benchmarks.Trace.ElasticsearchBenchmark.CallElasticsearchAsync netcoreapp3.1,throughput,0,55,0,26,47.27272727,1.786843131
Benchmarks.Trace.GraphQLBenchmark.ExecuteAsync net472,execution_time,0,55,0,34,61.81818182,0.9268767529
Benchmarks.Trace.HttpClientBenchmark.SendAsync net472,execution_time,0,55,0,17,30.90909091,0.1550548036
Benchmarks.Trace.HttpClientBenchmark.SendAsync net6.0,execution_time,0,55,0,3,5.454545455,0.2589579593
Benchmarks.Trace.HttpClientBenchmark.SendAsync net6.0,throughput,0,55,0,1,1.818181818,0.004364156832
Benchmarks.Trace.HttpClientBenchmark.SendAsync netcoreapp3.1,throughput,0,55,0,36,65.45454545,1.816991035
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog net472,execution_time,0,55,0,28,50.90909091,0.4224870816
Benchmarks.Trace.ILoggerBenchmark.EnrichedLog netcoreapp3.1,throughput,0,55,0,33,60,1.54550354
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net472,execution_time,0,55,0,17,30.90909091,0.5062736266
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net6.0,execution_time,0,55,0,0,0,0
Benchmarks.Trace.Log4netBenchmark.EnrichedLog net6.0,throughput,0,55,0,8,14.54545455,0.5655488285
Benchmarks.Trace.Log4netBenchmark.EnrichedLog netcoreapp3.1,throughput,0,55,0,33,60,1.555698565
Benchmarks.Trace.NLogBenchmark.EnrichedLog net472,execution_time,0,55,0,8,14.54545455,0.1000258139
Benchmarks.Trace.RedisBenchmark.SendReceive net472,execution_time,0,55,0,37,67.27272727,0.8274739064
Benchmarks.Trace.RedisBenchmark.SendReceive net6.0,throughput,0,55,0,7,12.72727273,1.420295391
Benchmarks.Trace.SerilogBenchmark.EnrichedLog net472,execution_time,0,55,0,18,32.72727273,0.3586710697
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore net472,execution_time,0,55,0,21,38.18181818,0.2691462063
Benchmarks.Trace.SingleSpanAspNetCoreBenchmark.SingleSpanAspNetCore netcoreapp3.1,execution_time,0,55,0,34,61.81818182,1.548355115
Benchmarks.Trace.SpanBenchmark.StartFinishScope net472,execution_time,0,55,0,28,50.90909091,0.2691022111
Benchmarks.Trace.SpanBenchmark.StartFinishSpan net472,execution_time,0,55,0,29,52.72727273,0.5308861286
Benchmarks.Trace.SpanBenchmark.StartFinishSpan net6.0,execution_time,0,55,0,0,0,0
Benchmarks.Trace.SpanBenchmark.StartFinishSpan net6.0,throughput,0,55,0,0,0,0
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net472,execution_time,0,55,0,17,30.90909091,0.3457587389
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net6.0,execution_time,0,55,0,5,9.090909091,1.340533994
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes net6.0,throughput,0,55,0,3,5.454545455,1.276857652
Benchmarks.Trace.SpanBenchmark.StartFinishTwoScopes netcoreapp3.1,throughput,0,55,0,38,69.09090909,1.944008917
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin net472,execution_time,0,55,0,15,27.27272727,0.1962536784
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin net6.0,execution_time,0,55,0,0,0,0
Benchmarks.Trace.TraceAnnotationsBenchmark.RunOnMethodBegin net6.0,throughput,0,55,0,0,0,0
Significant Impact FP Rate,18.24951644,,,,,,
T-test FP Rate,53.67504836,,,,,,
Max Significant Impact Bound,97.88840139,,,,,,
p95 Significant Impact Bound,39.08666672,,,,,,
